pattern,canonical
алматы қаласы,Алматы
город алматы,Алматы
г. алматы,Алматы
г.алматы,Алматы
almaty city,Алматы
алматы облысы,Алматинская область
алматинская,Алматинская область
алматы,Алматы
астана қаласы,Астана
город астана,Астана
астана,Астана
шымкент қаласы,Шымкент
город шымкент,Шымкент
шымкент,Шымкент
ақмола облысы,Акмолинская область
акмолинская,Акмолинская область
ақтөбе облысы,Актюбинская область
актюбинская,Актюбинская область
актобе,Актюбинская область
атырау облысы,Атырауская область
атырауская,Атырауская область
батыс қазақстан,Западно-Казахстанская область
западно-казахстан,Западно-Казахстанская область
жамбыл облысы,Жамбылская область
жамбылская,Жамбылская область
жетісу облысы,Жетысуская область
жетысуская,Жетысуская область
жетісу,Жетысуская область
қарағанды облысы,Карагандинская область
карагандинская,Карагандинская область
қостанай облысы,Костанайская область
костанайская,Костанайская область
қызылорда облысы,Кызылординская область
кызылординская,Кызылординская область
маңғыстау облысы,Мангистауская область
мангистауская,Мангистауская область
павлодар облысы,Павлодарская область
павлодарская,Павлодарская область
солтүстік қазақстан,Северо-Казахстанская область
северо-казахстан,Северо-Казахстанская область
түркістан облысы,Туркестанская область
туркестанская,Туркестанская область
шығыс қазақстан,Восточно-Казахстанская область
восточно-казахстан,Восточно-Казахстанская область
абай облысы,Абайская область
абайская,Абайская область
область абай,Абайская область
ұлытау облысы,Улытауская область
улытауская,Улытауская область
