Factor,Item,Beta
G,Q01,0.660
G,Q03,0.791
G,Q04,0.797
G,Q05,0.861
G,Q06,0.589
G,Q07,0.731
G,Q08,0.695
G,Q09,0.683
G,Q10,0.799
G,Q11,0.667
G,Q12,0.828
G,Q13,0.905
G,Q14,0.837
G,Q15,0.807
G,Q16,0.787
G,Q18,0.874
G,Q19,0.875
G,Q20,0.715
G,Q21,0.868
G,Q22,0.746
G,Q23,0.636
G,Q24,0.746
G,Q26,0.501
G,Q27,0.768
G,Q28,0.840
G,Q29,0.811
S1,Q01,0.531
S1,Q03,0.280
S1,Q04,0.280
S1,Q05,0.066
S1,Q06,0.530
S1,Q07,0.116
S1,Q08,0.099
S1,Q09,0.575
S2,Q10,0.343
S2,Q11,-0.059
S2,Q12,0.306
S2,Q13,0.082
S2,Q14,0.177
S2,Q15,0.314
S2,Q16,0.329
S2,Q18,-0.004
S2,Q19,0.136
S3,Q20,-0.010
S3,Q21,0.236
S3,Q22,0.297
S3,Q23,0.512
S3,Q24,0.267
S3,Q26,0.076
S3,Q27,0.239
S3,Q28,0.219
S3,Q29,0.377
