Item,a,b,g,u,Subscale,p_value,b_1pl
Q01,1.646,-0.955,0,1,S1,0.735,-1.859
Q03,2.297,-0.647,0,1,S1,0.668,-1.390
Q04,2.410,-0.392,0,1,S1,0.585,-0.827
Q05,3.013,-0.852,0,1,S1,0.747,-1.946
Q06,1.366,-0.581,0,1,S1,0.628,-1.122
Q07,1.850,-0.646,0,1,S1,0.660,-1.336
Q08,1.642,-0.191,0,1,S1,0.530,-0.446
Q09,1.749,-0.627,0,1,S1,0.652,-1.282
Q10,2.431,-0.560,0,1,S2,0.640,-1.202
Q11,1.594,-0.809,0,1,S2,0.696,-1.580
Q12,2.623,-0.203,0,1,S2,0.522,-0.390
Q13,3.639,-0.752,0,1,S2,0.715,-1.718
Q14,2.726,-0.339,0,1,S2,0.565,-0.692
Q15,2.483,-0.405,0,1,S2,0.589,-0.854
Q16,2.291,-0.215,0,1,S2,0.530,-0.446
Q18,2.874,-0.089,0,1,S2,0.482,-0.107
Q19,3.224,-0.653,0,1,S2,0.676,-1.444
Q20,1.803,-0.512,0,1,S3,0.621,-1.068
Q21,3.054,-0.302,0,1,S3,0.549,-0.583
Q22,1.984,-0.388,0,1,S3,0.585,-0.827
Q23,1.488,-0.171,0,1,S3,0.526,-0.418
Q24,1.952,-0.480,0,1,S3,0.613,-1.015
Q26,1.062,-0.946,0,1,S3,0.688,-1.526
Q27,2.112,-0.490,0,1,S3,0.617,-1.042
Q28,2.660,-0.143,0,1,S3,0.502,-0.250
Q29,2.498,-0.334,0,1,S3,0.565,-0.692
