Item,Q01,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29
Q01,,0.031,0.081,-0.035,0.293,-0.031,-0.118,0.298,-0.082,0.081,-0.056,-0.009,-0.097,-0.081,-0.039,-0.094,-0.163,0.183,-0.082,-0.053,-0.169,-0.078,0.094,0.000,-0.194,-0.167
Q03,0.031,,0.129,-0.010,0.062,0.123,0.103,0.191,-0.164,0.002,0.020,0.009,-0.105,0.018,-0.050,-0.045,-0.037,-0.157,-0.171,-0.105,-0.066,-0.181,-0.162,-0.129,-0.105,-0.172
Q04,0.081,0.129,,-0.014,0.090,-0.008,0.151,0.127,-0.158,-0.073,-0.057,-0.105,-0.059,-0.085,-0.171,-0.174,-0.119,0.040,-0.107,-0.034,-0.061,-0.024,0.049,-0.057,-0.049,-0.119
Q05,-0.035,-0.010,-0.014,,-0.022,0.102,0.044,-0.072,-0.071,-0.163,0.040,-0.095,0.008,-0.002,-0.123,0.057,-0.091,-0.141,-0.274,-0.032,0.061,-0.162,-0.071,-0.003,-0.028,-0.052
Q06,0.293,0.062,0.090,-0.022,,-0.055,0.044,0.260,-0.140,0.264,-0.071,-0.142,-0.043,-0.109,-0.048,-0.178,-0.144,0.215,-0.152,-0.118,-0.113,-0.161,0.230,-0.137,-0.112,0.050
Q07,-0.031,0.123,-0.008,0.102,-0.055,,-0.010,0.051,0.024,-0.085,-0.150,0.000,0.031,-0.028,-0.013,0.004,0.023,-0.079,-0.204,-0.051,-0.012,-0.116,-0.206,-0.066,-0.062,-0.154
Q08,-0.118,0.103,0.151,0.044,0.044,-0.010,,-0.036,-0.082,0.003,-0.032,-0.007,-0.044,-0.059,-0.050,-0.042,-0.099,-0.110,0.069,-0.240,0.040,-0.084,-0.111,-0.115,-0.001,-0.073
Q09,0.298,0.191,0.127,-0.072,0.260,0.051,-0.036,,-0.079,0.177,-0.110,-0.089,-0.071,-0.088,-0.080,-0.090,-0.112,0.127,-0.163,-0.052,-0.137,-0.187,0.130,-0.192,-0.145,-0.133
Q10,-0.082,-0.164,-0.158,-0.071,-0.140,0.024,-0.082,-0.079,,-0.120,0.107,0.038,-0.008,0.093,0.037,-0.108,0.010,-0.056,-0.042,-0.035,-0.036,-0.019,-0.019,0.036,-0.157,-0.138
Q11,0.081,0.002,-0.073,-0.163,0.264,-0.085,0.003,0.177,-0.120,,-0.022,-0.151,-0.126,-0.038,-0.026,-0.083,-0.023,0.274,-0.065,-0.015,-0.028,-0.152,0.180,-0.103,0.038,-0.134
Q12,-0.056,0.020,-0.057,0.040,-0.071,-0.150,-0.032,-0.110,0.107,-0.022,,0.066,0.052,0.016,0.108,0.027,-0.061,-0.175,-0.248,-0.096,-0.075,-0.145,0.070,-0.062,-0.120,-0.169
Q13,-0.009,0.009,-0.105,-0.095,-0.142,0.000,-0.007,-0.089,0.038,-0.151,0.066,,-0.170,-0.090,-0.100,0.012,-0.084,-0.069,0.138,-0.163,-0.116,0.032,-0.031,-0.098,-0.132,-0.117
