Item_A,Item_B,Sub_A,Sub_B,Q3,Q3_adj,Same_sub,Flag
Q01,Q09,S1,S1,0.298,0.335,TRUE,TRUE
Q01,Q06,S1,S1,0.293,0.330,TRUE,TRUE
Q11,Q20,S2,S3,0.274,0.311,FALSE,TRUE
Q06,Q11,S1,S2,0.264,0.301,FALSE,TRUE
Q06,Q09,S1,S1,0.260,0.296,TRUE,TRUE
Q20,Q26,S3,S3,0.238,0.275,TRUE,TRUE
Q06,Q26,S1,S3,0.230,0.267,FALSE,TRUE
Q06,Q20,S1,S3,0.215,0.252,FALSE,TRUE
Q23,Q29,S3,S3,0.197,0.233,TRUE,TRUE
Q03,Q09,S1,S1,0.191,0.228,TRUE,TRUE
Q01,Q20,S1,S3,0.183,0.220,FALSE,TRUE
Q11,Q26,S2,S3,0.180,0.217,FALSE,TRUE
Q09,Q11,S1,S2,0.177,0.214,FALSE,TRUE
Q22,Q27,S3,S3,0.177,0.214,TRUE,TRUE
Q04,Q08,S1,S1,0.151,0.188,TRUE,FALSE
Q13,Q21,S2,S3,0.138,0.175,FALSE,FALSE
Q09,Q26,S1,S3,0.130,0.166,FALSE,FALSE
Q03,Q04,S1,S1,0.129,0.166,TRUE,FALSE
Q09,Q20,S1,S3,0.127,0.164,FALSE,FALSE
Q04,Q09,S1,S1,0.127,0.164,TRUE,FALSE
Q03,Q07,S1,S1,0.123,0.160,TRUE,FALSE
Q15,Q16,S2,S2,0.112,0.149,TRUE,FALSE
Q12,Q16,S2,S2,0.108,0.145,TRUE,FALSE
Q10,Q12,S2,S2,0.107,0.143,TRUE,FALSE
Q18,Q21,S2,S3,0.106,0.143,FALSE,FALSE
Q03,Q08,S1,S1,0.103,0.140,TRUE,FALSE
Q22,Q23,S3,S3,0.103,0.140,TRUE,FALSE
Q05,Q07,S1,S1,0.102,0.139,TRUE,FALSE
Q22,Q24,S3,S3,0.096,0.133,TRUE,FALSE
Q20,Q22,S3,S3,0.095,0.132,TRUE,FALSE
Q01,Q26,S1,S3,0.094,0.131,FALSE,FALSE
Q10,Q15,S2,S2,0.093,0.130,TRUE,FALSE
Q23,Q28,S3,S3,0.090,0.127,TRUE,FALSE
Q21,Q24,S3,S3,0.090,0.126,TRUE,FALSE
Q04,Q06,S1,S1,0.090,0.126,TRUE,FALSE
Q21,Q29,S3,S3,0.089,0.126,TRUE,FALSE
Q24,Q28,S3,S3,0.084,0.121,TRUE,FALSE
Q01,Q11,S1,S2,0.081,0.118,FALSE,FALSE
Q01,Q04,S1,S1,0.081,0.118,TRUE,FALSE
Q18,Q28,S2,S3,0.078,0.115,FALSE,FALSE
Q24,Q29,S3,S3,0.074,0.111,TRUE,FALSE
Q21,Q23,S3,S3,0.074,0.111,TRUE,FALSE
Q12,Q26,S2,S3,0.070,0.106,FALSE,FALSE
Q08,Q21,S1,S3,0.069,0.105,FALSE,FALSE
Q26,Q29,S3,S3,0.068,0.105,TRUE,FALSE
Q14,Q29,S2,S3,0.066,0.103,FALSE,FALSE
Q12,Q13,S2,S2,0.066,0.102,TRUE,FALSE
Q03,Q06,S1,S1,0.062,0.099,TRUE,FALSE
Q15,Q19,S2,S2,0.062,0.098,TRUE,FALSE
Q05,Q23,S1,S3,0.061,0.098,FALSE,FALSE
Q19,Q29,S2,S3,0.059,0.096,FALSE,FALSE
Q05,Q18,S1,S2,0.057,0.094,FALSE,FALSE
Q12,Q14,S2,S2,0.052,0.089,TRUE,FALSE
Q07,Q09,S1,S1,0.051,0.088,TRUE,FALSE
Q06,Q29,S1,S3,0.050,0.087,FALSE,FALSE
Q04,Q26,S1,S3,0.049,0.086,FALSE,FALSE
Q16,Q21,S2,S3,0.048,0.085,FALSE,FALSE
Q27,Q28,S3,S3,0.047,0.084,TRUE,FALSE
Q05,Q08,S1,S1,0.044,0.081,TRUE,FALSE
Q06,Q08,S1,S1,0.044,0.081,TRUE,FALSE
Q20,Q28,S3,S3,0.043,0.080,TRUE,FALSE
Q23,Q27,S3,S3,0.040,0.077,TRUE,FALSE
Q19,Q21,S2,S3,0.040,0.077,FALSE,FALSE
Q26,Q28,S3,S3,0.040,0.077,TRUE,FALSE
Q08,Q23,S1,S3,0.040,0.077,FALSE,FALSE
Q05,Q12,S1,S2,0.040,0.077,FALSE,FALSE
Q04,Q20,S1,S3,0.040,0.077,FALSE,FALSE
Q11,Q28,S2,S3,0.038,0.075,FALSE,FALSE
Q10,Q13,S2,S2,0.038,0.075,TRUE,FALSE
Q23,Q24,S3,S3,0.038,0.075,TRUE,FALSE
Q10,Q16,S2,S2,0.037,0.073,TRUE,FALSE
Q10,Q27,S2,S3,0.036,0.073,FALSE,FALSE
Q13,Q24,S2,S3,0.032,0.069,FALSE,FALSE
Q16,Q24,S2,S3,0.031,0.068,FALSE,FALSE
Q07,Q14,S1,S2,0.031,0.068,FALSE,FALSE
Q01,Q03,S1,S1,0.031,0.067,TRUE,FALSE
Q21,Q22,S3,S3,0.030,0.067,TRUE,FALSE
Q19,Q27,S2,S3,0.029,0.066,FALSE,FALSE
Q14,Q16,S2,S2,0.029,0.066,TRUE,FALSE
Q19,Q24,S2,S3,0.027,0.064,FALSE,FALSE
Q12,Q18,S2,S2,0.027,0.063,TRUE,FALSE
Q28,Q29,S3,S3,0.026,0.063,TRUE,FALSE
Q22,Q29,S3,S3,0.026,0.062,TRUE,FALSE
Q20,Q24,S3,S3,0.026,0.062,TRUE,FALSE
Q07,Q10,S1,S2,0.024,0.060,FALSE,FALSE
Q21,Q27,S3,S3,0.023,0.060,TRUE,FALSE
Q07,Q19,S1,S2,0.023,0.059,FALSE,FALSE
Q03,Q12,S1,S2,0.020,0.057,FALSE,FALSE
Q24,Q26,S3,S3,0.020,0.056,TRUE,FALSE
Q03,Q15,S1,S2,0.018,0.055,FALSE,FALSE
Q12,Q15,S2,S2,0.016,0.052,TRUE,FALSE
Q14,Q15,S2,S2,0.014,0.051,TRUE,FALSE
Q27,Q29,S3,S3,0.014,0.051,TRUE,FALSE
Q13,Q18,S2,S2,0.012,0.049,TRUE,FALSE
Q10,Q19,S2,S2,0.010,0.047,TRUE,FALSE
Q03,Q13,S1,S2,0.009,0.046,FALSE,FALSE
Q05,Q14,S1,S2,0.008,0.045,FALSE,FALSE
Q07,Q18,S1,S2,0.004,0.040,FALSE,FALSE
Q08,Q11,S1,S2,0.003,0.040,FALSE,FALSE
Q03,Q11,S1,S2,0.002,0.039,FALSE,FALSE
Q07,Q13,S1,S2,0.000,0.037,FALSE,FALSE
Q01,Q27,S1,S3,0.000,0.037,FALSE,FALSE
Q08,Q28,S1,S3,-0.001,0.036,FALSE,FALSE
Q23,Q26,S3,S3,-0.001,0.035,TRUE,FALSE
Q05,Q15,S1,S2,-0.002,0.035,FALSE,FALSE
Q05,Q27,S1,S3,-0.003,0.034,FALSE,FALSE
Q08,Q13,S1,S2,-0.007,0.030,FALSE,FALSE
Q10,Q14,S2,S2,-0.008,0.029,TRUE,FALSE
Q04,Q07,S1,S1,-0.008,0.029,TRUE,FALSE
Q01,Q13,S1,S2,-0.009,0.028,FALSE,FALSE
Q07,Q08,S1,S1,-0.010,0.027,TRUE,FALSE
Q03,Q05,S1,S1,-0.010,0.027,TRUE,FALSE
Q21,Q28,S3,S3,-0.010,0.027,TRUE,FALSE
Q07,Q23,S1,S3,-0.012,0.025,FALSE,FALSE
Q07,Q16,S1,S2,-0.013,0.024,FALSE,FALSE
Q16,Q18,S2,S2,-0.013,0.024,TRUE,FALSE
Q04,Q05,S1,S1,-0.014,0.023,TRUE,FALSE
Q11,Q22,S2,S3,-0.015,0.022,FALSE,FALSE
Q15,Q27,S2,S3,-0.019,0.018,FALSE,FALSE
Q10,Q26,S2,S3,-0.019,0.018,FALSE,FALSE
Q10,Q24,S2,S3,-0.019,0.018,FALSE,FALSE
Q11,Q12,S2,S2,-0.022,0.015,TRUE,FALSE
Q05,Q06,S1,S1,-0.022,0.014,TRUE,FALSE
Q11,Q19,S2,S2,-0.023,0.014,TRUE,FALSE
Q04,Q24,S1,S3,-0.024,0.013,FALSE,FALSE
Q11,Q16,S2,S2,-0.026,0.011,TRUE,FALSE
Q14,Q22,S2,S3,-0.026,0.011,FALSE,FALSE
Q14,Q20,S2,S3,-0.028,0.009,FALSE,FALSE
Q07,Q15,S1,S2,-0.028,0.009,FALSE,FALSE
Q11,Q23,S2,S3,-0.028,0.009,FALSE,FALSE
Q05,Q28,S1,S3,-0.028,0.009,FALSE,FALSE
Q18,Q20,S2,S3,-0.029,0.008,FALSE,FALSE
Q14,Q19,S2,S2,-0.031,0.006,TRUE,FALSE
Q01,Q07,S1,S1,-0.031,0.006,TRUE,FALSE
Q13,Q26,S2,S3,-0.031,0.006,FALSE,FALSE
Q08,Q12,S1,S2,-0.032,0.005,FALSE,FALSE
Q18,Q29,S2,S3,-0.032,0.004,FALSE,FALSE
Q05,Q22,S1,S3,-0.032,0.004,FALSE,FALSE
Q04,Q22,S1,S3,-0.034,0.003,FALSE,FALSE
Q20,Q29,S3,S3,-0.035,0.002,TRUE,FALSE
Q01,Q05,S1,S1,-0.035,0.002,TRUE,FALSE
Q10,Q22,S2,S3,-0.035,0.002,FALSE,FALSE
Q10,Q23,S2,S3,-0.036,0.001,FALSE,FALSE
Q08,Q09,S1,S1,-0.036,0.001,TRUE,FALSE
Q24,Q27,S3,S3,-0.036,0.001,TRUE,FALSE
Q03,Q19,S1,S2,-0.037,0.000,FALSE,FALSE
Q16,Q19,S2,S2,-0.038,-0.001,TRUE,FALSE
Q14,Q27,S2,S3,-0.038,-0.001,FALSE,FALSE
Q11,Q15,S2,S2,-0.038,-0.001,TRUE,FALSE
Q01,Q16,S1,S2,-0.039,-0.002,FALSE,FALSE
Q10,Q21,S2,S3,-0.042,-0.005,FALSE,FALSE
Q08,Q18,S1,S2,-0.042,-0.006,FALSE,FALSE
Q14,Q26,S2,S3,-0.043,-0.006,FALSE,FALSE
Q06,Q14,S1,S2,-0.043,-0.007,FALSE,FALSE
Q18,Q23,S2,S3,-0.044,-0.007,FALSE,FALSE
Q08,Q14,S1,S2,-0.044,-0.007,FALSE,FALSE
Q15,Q24,S2,S3,-0.044,-0.008,FALSE,FALSE
Q03,Q18,S1,S2,-0.045,-0.008,FALSE,FALSE
