Sweep,Cut,n,alpha,omega_h,H,a_mean,Conv_2PL
lower,6,145,0.804,0.814,0.173,0.92,TRUE
lower,7,124,0.783,0.395,0.157,0.86,TRUE
lower,8,103,0.742,0.385,0.132,0.78,TRUE
lower,9,92,0.702,0.601,0.110,0.69,TRUE
lower,10,83,0.657,0.561,0.093,0.60,TRUE
lower,11,73,0.579,0.734,0.069,0.43,TRUE
lower,12,68,0.522,0.277,0.056,0.15,TRUE
upper,22,89,0.612,0.163,0.077,,FALSE
upper,23,96,0.687,0.619,0.103,0.67,TRUE
upper,24,103,0.742,0.385,0.132,0.78,TRUE
upper,25,117,0.811,0.483,0.185,1.00,TRUE
upper,26,135,0.858,0.618,0.244,1.28,TRUE
symmetric,0,177,0.889,0.606,0.291,1.39,TRUE
symmetric,1,138,0.838,0.538,0.211,1.07,TRUE
symmetric,2,103,0.742,0.385,0.132,0.78,TRUE
symmetric,3,85,0.633,0.640,0.083,0.60,TRUE
symmetric,4,69,0.450,0.569,0.042,-0.01,TRUE
symmetric,5,56,0.198,0.272,0.014,0.17,TRUE
