Factor,Item,B,SE,z,p,Beta
S1,Q01,1.000,0.000,,,0.688
S1,Q03,1.172,0.102,11.458,0,0.806
S1,Q04,1.259,0.107,11.752,0,0.866
S1,Q05,1.197,0.111,10.807,0,0.823
S1,Q06,0.975,0.094,10.386,0,0.671
S1,Q07,1.063,0.112,9.456,0,0.731
S1,Q08,1.120,0.121,9.223,0,0.770
S1,Q09,1.109,0.095,11.721,0,0.762
S2,Q10,1.000,0.000,,,0.781
S2,Q11,0.846,0.076,11.122,0,0.661
S2,Q12,1.105,0.068,16.146,0,0.863
S2,Q13,1.060,0.063,16.921,0,0.828
S2,Q14,1.083,0.069,15.706,0,0.846
S2,Q15,1.043,0.066,15.724,0,0.815
S2,Q16,1.062,0.070,15.189,0,0.830
S2,Q18,1.185,0.071,16.668,0,0.926
S2,Q19,1.056,0.065,16.277,0,0.825
S3,Q20,1.000,0.000,,,0.743
S3,Q21,1.237,0.093,13.311,0,0.919
S3,Q22,1.028,0.086,11.890,0,0.764
S3,Q23,0.918,0.106,8.690,0,0.682
S3,Q24,1.022,0.093,11.023,0,0.759
S3,Q26,0.682,0.082,8.358,0,0.506
S3,Q27,1.036,0.093,11.187,0,0.770
S3,Q28,1.213,0.095,12.775,0,0.901
S3,Q29,1.145,0.093,12.254,0,0.851
