Показатель,Курс,N,Mean (M),SD,Median (Mdn),Min,Max,Skewness,Kurtosis
Общий балл,1 курс,76,16.75,8.34,18.0,4.0,26.0,-0.14,-1.72
Общий балл,2 курс,30,17.73,7.12,18.0,7.0,26.0,-0.16,-1.51
Общий балл,3 курс,113,14.8,7.8,14.0,3.0,26.0,0.23,-1.5
Общий балл,4 курс,34,15.94,7.4,17.5,5.0,26.0,-0.03,-1.54
S1: Интерпретация,1 курс,76,5.28,2.67,7.0,0.0,8.0,-0.36,-1.41
S1: Интерпретация,2 курс,30,5.53,2.4,6.5,0.0,8.0,-0.56,-0.92
S1: Интерпретация,3 курс,113,5.04,2.6,5.0,0.0,8.0,-0.22,-1.35
S1: Интерпретация,4 курс,34,5.32,2.2,6.0,1.0,8.0,-0.35,-1.17
S2: Анализ,1 курс,76,5.74,3.27,7.0,0.0,9.0,-0.28,-1.6
S2: Анализ,2 курс,30,6.2,2.57,6.0,2.0,9.0,-0.2,-1.51
S2: Анализ,3 курс,113,5.02,3.21,5.0,0.0,9.0,0.01,-1.57
S2: Анализ,4 курс,34,5.32,2.74,5.5,0.0,9.0,-0.2,-1.01
S3: Оценка,1 курс,76,5.74,3.06,5.0,0.0,9.0,-0.2,-1.51
S3: Оценка,2 курс,30,6.0,2.68,6.0,1.0,9.0,-0.23,-1.3
S3: Оценка,3 курс,113,4.74,2.95,4.0,0.0,9.0,0.34,-1.37
S3: Оценка,4 курс,34,5.29,3.14,5.5,1.0,9.0,-0.04,-1.58
Theta (Раш),1 курс,76,0.21,2.1,-0.17,-2.7,3.09,0.2,-1.57
Theta (Раш),2 курс,30,0.34,1.89,-0.17,-2.01,3.09,0.36,-1.36
Theta (Раш),3 курс,113,-0.34,1.89,-0.84,-3.0,3.09,0.68,-0.9
Theta (Раш),4 курс,34,-0.16,1.78,-0.26,-2.44,3.09,0.61,-0.76
