Variable,N,Missing,Mean,SD,SE,Min,P25,Mdn,P75,Max,IQR,Skewness,Kurtosis,Shapiro_W,Shapiro_p
Q01,253,0,0.735,0.442,0.028,0.0,0.0,1.0,1.0,1.0,1.0,-1.066,-0.864,,
Q03,253,0,0.668,0.472,0.03,0.0,0.0,1.0,1.0,1.0,1.0,-0.713,-1.491,,
Q04,253,0,0.585,0.494,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.345,-1.881,,
Q05,253,0,0.747,0.436,0.027,0.0,0.0,1.0,1.0,1.0,1.0,-1.137,-0.708,,
Q06,253,0,0.628,0.484,0.03,0.0,0.0,1.0,1.0,1.0,1.0,-0.532,-1.717,,
Q07,253,0,0.66,0.475,0.03,0.0,0.0,1.0,1.0,1.0,1.0,-0.676,-1.543,,
Q08,253,0,0.53,0.5,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.119,-1.986,,
Q09,253,0,0.652,0.477,0.03,0.0,0.0,1.0,1.0,1.0,1.0,-0.639,-1.592,,
Q10,253,0,0.64,0.481,0.03,0.0,0.0,1.0,1.0,1.0,1.0,-0.585,-1.658,,
Q11,253,0,0.696,0.461,0.029,0.0,0.0,1.0,1.0,1.0,1.0,-0.85,-1.277,,
Q12,253,0,0.522,0.501,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.087,-1.992,,
Q13,253,0,0.715,0.452,0.028,0.0,0.0,1.0,1.0,1.0,1.0,-0.955,-1.088,,
Q14,253,0,0.565,0.497,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.263,-1.931,,
Q15,253,0,0.589,0.493,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.361,-1.869,,
Q16,253,0,0.53,0.5,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.119,-1.986,,
Q18,253,0,0.482,0.501,0.031,0.0,0.0,0.0,1.0,1.0,1.0,0.071,-1.995,,
Q19,253,0,0.676,0.469,0.029,0.0,0.0,1.0,1.0,1.0,1.0,-0.752,-1.435,,
Q20,253,0,0.621,0.486,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.497,-1.753,,
Q21,253,0,0.549,0.499,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.199,-1.961,,
Q22,253,0,0.585,0.494,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.345,-1.881,,
Q23,253,0,0.526,0.5,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.103,-1.989,,
Q24,253,0,0.613,0.488,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.462,-1.786,,
Q26,253,0,0.688,0.464,0.029,0.0,0.0,1.0,1.0,1.0,1.0,-0.81,-1.343,,
Q27,253,0,0.617,0.487,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.48,-1.77,,
Q28,253,0,0.502,0.501,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.008,-2.0,,
Q29,253,0,0.565,0.497,0.031,0.0,0.0,1.0,1.0,1.0,1.0,-0.263,-1.931,,
Score_S1,253,0,5.206,2.538,0.16,0.0,3.0,6.0,8.0,8.0,5.0,-0.325,-1.305,0.8746,0.0
Score_S2,253,0,5.415,3.109,0.195,0.0,3.0,5.0,9.0,9.0,6.0,-0.148,-1.507,0.8671,0.0
Score_S3,253,0,5.265,3.005,0.189,0.0,2.0,5.0,9.0,9.0,7.0,0.051,-1.52,0.8668,0.0
Score_Total,253,0,15.885,7.867,0.495,3.0,8.0,15.0,24.0,26.0,16.0,0.034,-1.606,0.8713,0.0
