Variable,Value,N,%
Language,kz,192,75.9
Language,ru,61,24.1
Course,3,113,44.7
Course,1,76,30.0
Course,4,34,13.4
Course,2,30,11.9
Region,Алматы,50,19.8
Region,Абайская область,46,18.2
Region,Алматинская область,30,11.9
Region,Северо-Казахстанская область,30,11.9
Region,Жамбылская область,26,10.3
Region,Актюбинская область,21,8.3
Region,Шымкент,18,7.1
Region,Западно-Казахстанская область,14,5.5
Region,Восточно-Казахстанская область,5,2.0
Region,Павлодарская область,3,1.2
Region,Кызылординская область,3,1.2
Region,Мангистауская область,2,0.8
Region,Туркестанская область,2,0.8
Region,Акмолинская область,1,0.4
Region,Атырауская область,1,0.4
Region,Астана,1,0.4
GPA_ordinal,4,107,42.3
GPA_ordinal,3,97,38.3
GPA_ordinal,5,47,18.6
GPA_ordinal,2,1,0.4
GPA_ordinal,1,1,0.4
Conference,0,195,77.1
Conference,1,58,22.9
