Item,Language,InCFA,Subscale,Option,IsCorrect,N,Pct,pbis
Q01,KZ,TRUE,S1,A,TRUE,145,75.5,0.450
Q01,KZ,TRUE,S1,B,FALSE,24,12.5,-0.329
Q01,KZ,TRUE,S1,C,FALSE,12,6.2,-0.201
Q01,KZ,TRUE,S1,D,FALSE,11,5.7,-0.155
Q01,RU,TRUE,S1,A,TRUE,41,67.2,0.539
Q01,RU,TRUE,S1,B,FALSE,10,16.4,-0.442
Q01,RU,TRUE,S1,C,FALSE,6,9.8,-0.233
Q01,RU,TRUE,S1,D,FALSE,4,6.6,-0.081
Q02,KZ,FALSE,-,A,TRUE,100,52.1,0.687
Q02,KZ,FALSE,-,B,FALSE,44,22.9,-0.447
Q02,KZ,FALSE,-,C,FALSE,33,17.2,-0.280
Q02,KZ,FALSE,-,D,FALSE,15,7.8,-0.185
Q02,RU,FALSE,-,A,TRUE,47,77.0,0.615
Q02,RU,FALSE,-,B,FALSE,6,9.8,-0.420
Q02,RU,FALSE,-,C,FALSE,5,8.2,-0.299
Q02,RU,FALSE,-,D,FALSE,3,4.9,-0.238
Q03,KZ,TRUE,S1,A,TRUE,122,63.5,0.612
Q03,KZ,TRUE,S1,B,FALSE,33,17.2,-0.424
Q03,KZ,TRUE,S1,C,FALSE,29,15.1,-0.267
Q03,KZ,TRUE,S1,D,FALSE,8,4.2,-0.196
Q03,RU,TRUE,S1,A,TRUE,47,77.0,0.447
Q03,RU,TRUE,S1,B,FALSE,10,16.4,-0.401
Q03,RU,TRUE,S1,C,FALSE,3,4.9,-0.135
Q03,RU,TRUE,S1,D,FALSE,1,1.6,
Q04,KZ,TRUE,S1,A,TRUE,110,57.3,0.689
Q04,KZ,TRUE,S1,B,FALSE,30,15.6,-0.330
Q04,KZ,TRUE,S1,C,FALSE,28,14.6,-0.362
Q04,KZ,TRUE,S1,D,FALSE,24,12.5,-0.282
Q04,RU,TRUE,S1,A,TRUE,38,62.3,0.533
Q04,RU,TRUE,S1,B,FALSE,9,14.8,-0.297
Q04,RU,TRUE,S1,C,FALSE,8,13.1,-0.114
Q04,RU,TRUE,S1,D,FALSE,6,9.8,-0.384
Q05,KZ,TRUE,S1,A,TRUE,141,73.4,0.550
Q05,KZ,TRUE,S1,B,FALSE,27,14.1,-0.426
Q05,KZ,TRUE,S1,C,FALSE,17,8.9,-0.253
Q05,KZ,TRUE,S1,D,FALSE,7,3.6,-0.122
Q05,RU,TRUE,S1,A,TRUE,48,78.7,0.588
Q05,RU,TRUE,S1,B,FALSE,7,11.5,-0.376
Q05,RU,TRUE,S1,C,FALSE,3,4.9,-0.274
Q05,RU,TRUE,S1,D,FALSE,3,4.9,-0.285
Q06,KZ,TRUE,S1,A,TRUE,123,64.1,0.471
Q06,KZ,TRUE,S1,B,FALSE,34,17.7,-0.321
Q06,KZ,TRUE,S1,C,FALSE,21,10.9,-0.198
Q06,KZ,TRUE,S1,D,FALSE,14,7.3,-0.161
Q06,RU,TRUE,S1,A,TRUE,36,59.0,0.482
Q06,RU,TRUE,S1,B,FALSE,10,16.4,-0.246
Q06,RU,TRUE,S1,C,FALSE,8,13.1,-0.047
Q06,RU,TRUE,S1,D,FALSE,7,11.5,-0.408
Q07,KZ,TRUE,S1,A,TRUE,123,64.1,0.510
Q07,KZ,TRUE,S1,B,FALSE,45,23.4,-0.410
Q07,KZ,TRUE,S1,C,FALSE,18,9.4,-0.163
Q07,KZ,TRUE,S1,D,FALSE,6,3.1,-0.134
Q07,RU,TRUE,S1,A,TRUE,44,72.1,0.544
Q07,RU,TRUE,S1,B,FALSE,8,13.1,-0.267
Q07,RU,TRUE,S1,C,FALSE,5,8.2,-0.262
Q07,RU,TRUE,S1,D,FALSE,4,6.6,-0.331
Q08,KZ,TRUE,S1,A,TRUE,102,53.1,0.608
Q08,KZ,TRUE,S1,B,FALSE,45,23.4,-0.292
Q08,KZ,TRUE,S1,C,FALSE,27,14.1,-0.259
Q08,KZ,TRUE,S1,D,FALSE,18,9.4,-0.309
Q08,RU,TRUE,S1,A,TRUE,32,52.5,0.393
Q08,RU,TRUE,S1,B,FALSE,18,29.5,-0.002
Q08,RU,TRUE,S1,C,FALSE,6,9.8,-0.370
Q08,RU,TRUE,S1,D,FALSE,5,8.2,-0.311
Q09,KZ,TRUE,S1,A,TRUE,126,65.6,0.569
Q09,KZ,TRUE,S1,B,FALSE,31,16.1,-0.406
Q09,KZ,TRUE,S1,C,FALSE,19,9.9,-0.248
Q09,KZ,TRUE,S1,D,FALSE,16,8.3,-0.169
Q09,RU,TRUE,S1,A,TRUE,39,63.9,0.482
Q09,RU,TRUE,S1,B,FALSE,11,18.0,-0.250
Q09,RU,TRUE,S1,C,FALSE,6,9.8,-0.242
Q09,RU,TRUE,S1,D,FALSE,5,8.2,-0.231
Q10,KZ,TRUE,S2,A,TRUE,127,66.1,0.662
Q10,KZ,TRUE,S2,B,FALSE,35,18.2,-0.506
Q10,KZ,TRUE,S2,C,FALSE,15,7.8,-0.228
Q10,KZ,TRUE,S2,D,FALSE,15,7.8,-0.213
Q10,RU,TRUE,S2,A,TRUE,35,57.4,0.418
Q10,RU,TRUE,S2,B,FALSE,13,21.3,-0.247
Q10,RU,TRUE,S2,C,FALSE,8,13.1,-0.376
Q10,RU,TRUE,S2,D,FALSE,5,8.2,0.078
Q11,KZ,TRUE,S2,A,TRUE,135,70.3,0.489
Q11,KZ,TRUE,S2,B,FALSE,37,19.3,-0.370
Q11,KZ,TRUE,S2,C,FALSE,11,5.7,-0.189
Q11,KZ,TRUE,S2,D,FALSE,9,4.7,-0.160
Q11,RU,TRUE,S2,A,TRUE,41,67.2,0.483
Q11,RU,TRUE,S2,B,FALSE,8,13.1,-0.091
Q11,RU,TRUE,S2,C,FALSE,7,11.5,-0.439
Q11,RU,TRUE,S2,D,FALSE,5,8.2,-0.205
Q12,KZ,TRUE,S2,A,TRUE,100,52.1,0.717
Q12,KZ,TRUE,S2,B,FALSE,37,19.3,-0.407
Q12,KZ,TRUE,S2,C,FALSE,29,15.1,-0.256
Q12,KZ,TRUE,S2,D,FALSE,26,13.5,-0.311
Q12,RU,TRUE,S2,A,TRUE,32,52.5,0.566
Q12,RU,TRUE,S2,B,FALSE,13,21.3,-0.145
Q12,RU,TRUE,S2,C,FALSE,9,14.8,-0.330
Q12,RU,TRUE,S2,D,FALSE,7,11.5,-0.333
Q13,KZ,TRUE,S2,A,TRUE,139,72.4,0.603
Q13,KZ,TRUE,S2,B,FALSE,30,15.6,-0.421
Q13,KZ,TRUE,S2,C,FALSE,17,8.9,-0.302
Q13,KZ,TRUE,S2,D,FALSE,6,3.1,-0.179
Q13,RU,TRUE,S2,A,TRUE,42,68.9,0.635
Q13,RU,TRUE,S2,B,FALSE,8,13.1,-0.388
Q13,RU,TRUE,S2,C,FALSE,7,11.5,-0.267
Q13,RU,TRUE,S2,D,FALSE,4,6.6,-0.316
Q14,KZ,TRUE,S2,A,TRUE,108,56.2,0.668
Q14,KZ,TRUE,S2,B,FALSE,45,23.4,-0.403
Q14,KZ,TRUE,S2,C,FALSE,22,11.5,-0.243
Q14,KZ,TRUE,S2,D,FALSE,17,8.9,-0.292
Q14,RU,TRUE,S2,A,TRUE,35,57.4,0.696
Q14,RU,TRUE,S2,B,FALSE,12,19.7,-0.231
Q14,RU,TRUE,S2,C,FALSE,8,13.1,-0.453
Q14,RU,TRUE,S2,D,FALSE,6,9.8,-0.335
Q15,KZ,TRUE,S2,A,TRUE,111,57.8,0.642
Q15,KZ,TRUE,S2,B,FALSE,42,21.9,-0.443
Q15,KZ,TRUE,S2,C,FALSE,22,11.5,-0.285
Q15,KZ,TRUE,S2,D,FALSE,17,8.9,-0.152
Q15,RU,TRUE,S2,A,TRUE,38,62.3,0.623
Q15,RU,TRUE,S2,B,FALSE,14,23.0,-0.266
Q15,RU,TRUE,S2,C,FALSE,5,8.2,-0.370
Q15,RU,TRUE,S2,D,FALSE,4,6.6,-0.357
Q16,KZ,TRUE,S2,A,TRUE,96,50.0,0.653
Q16,KZ,TRUE,S2,B,FALSE,40,20.8,-0.344
Q16,KZ,TRUE,S2,C,FALSE,31,16.1,-0.263
Q16,KZ,TRUE,S2,D,FALSE,25,13.0,-0.267
Q16,RU,TRUE,S2,A,TRUE,38,62.3,0.658
Q16,RU,TRUE,S2,B,FALSE,9,14.8,-0.220
Q16,RU,TRUE,S2,C,FALSE,7,11.5,-0.433
Q16,RU,TRUE,S2,D,FALSE,7,11.5,-0.323
Q18,KZ,TRUE,S2,A,TRUE,87,45.3,0.737
Q18,KZ,TRUE,S2,B,FALSE,55,28.6,-0.273
Q18,KZ,TRUE,S2,C,FALSE,42,21.9,-0.506
Q18,KZ,TRUE,S2,D,FALSE,8,4.2,-0.172
Q18,RU,TRUE,S2,A,TRUE,35,57.4,0.721
Q18,RU,TRUE,S2,B,FALSE,14,23.0,-0.389
Q18,RU,TRUE,S2,C,FALSE,7,11.5,-0.386
Q18,RU,TRUE,S2,D,FALSE,5,8.2,-0.255
Q19,KZ,TRUE,S2,A,TRUE,128,66.7,0.634
Q19,KZ,TRUE,S2,B,FALSE,29,15.1,-0.412
Q19,KZ,TRUE,S2,C,FALSE,28,14.6,-0.368
Q19,KZ,TRUE,S2,D,FALSE,7,3.6,-0.114
Q19,RU,TRUE,S2,A,TRUE,43,70.5,0.592
Q19,RU,TRUE,S2,B,FALSE,14,23.0,-0.430
Q19,RU,TRUE,S2,C,FALSE,2,3.3,-0.251
Q19,RU,TRUE,S2,D,FALSE,2,3.3,-0.251
Q20,KZ,TRUE,S3,A,TRUE,119,62.0,0.556
Q20,KZ,TRUE,S3,B,FALSE,35,18.2,-0.312
Q20,KZ,TRUE,S3,C,FALSE,27,14.1,-0.280
Q20,KZ,TRUE,S3,D,FALSE,11,5.7,-0.225
Q20,RU,TRUE,S3,A,TRUE,38,62.3,0.562
Q20,RU,TRUE,S3,B,FALSE,15,24.6,-0.457
Q20,RU,TRUE,S3,C,FALSE,6,9.8,-0.197
Q20,RU,TRUE,S3,D,FALSE,2,3.3,-0.097
Q21,KZ,TRUE,S3,A,TRUE,101,52.6,0.737
Q21,KZ,TRUE,S3,B,FALSE,38,19.8,-0.391
Q21,KZ,TRUE,S3,C,FALSE,28,14.6,-0.292
Q21,KZ,TRUE,S3,D,FALSE,25,13.0,-0.324
Q21,RU,TRUE,S3,A,TRUE,38,62.3,0.602
Q21,RU,TRUE,S3,B,FALSE,9,14.8,-0.278
Q21,RU,TRUE,S3,C,FALSE,7,11.5,-0.314
Q21,RU,TRUE,S3,D,FALSE,7,11.5,-0.292
Q22,KZ,TRUE,S3,A,TRUE,112,58.3,0.582
Q22,KZ,TRUE,S3,B,FALSE,42,21.9,-0.390
Q22,KZ,TRUE,S3,C,FALSE,21,10.9,-0.202
Q22,KZ,TRUE,S3,D,FALSE,17,8.9,-0.221
Q22,RU,TRUE,S3,A,TRUE,36,59.0,0.565
Q22,RU,TRUE,S3,B,FALSE,15,24.6,-0.281
Q22,RU,TRUE,S3,C,FALSE,5,8.2,-0.337
Q22,RU,TRUE,S3,D,FALSE,5,8.2,-0.235
Q23,KZ,TRUE,S3,A,TRUE,103,53.6,0.530
Q23,KZ,TRUE,S3,B,FALSE,59,30.7,-0.434
Q23,KZ,TRUE,S3,C,FALSE,26,13.5,-0.154
Q23,KZ,TRUE,S3,D,FALSE,4,2.1,-0.079
Q23,RU,TRUE,S3,A,TRUE,30,49.2,0.405
Q23,RU,TRUE,S3,B,FALSE,15,24.6,-0.040
Q23,RU,TRUE,S3,C,FALSE,10,16.4,-0.176
Q23,RU,TRUE,S3,D,FALSE,6,9.8,-0.402
Q24,KZ,TRUE,S3,A,TRUE,116,60.4,0.578
Q24,KZ,TRUE,S3,B,FALSE,48,25.0,-0.454
Q24,KZ,TRUE,S3,C,FALSE,17,8.9,-0.163
Q24,KZ,TRUE,S3,D,FALSE,11,5.7,-0.173
Q24,RU,TRUE,S3,A,TRUE,39,63.9,0.517
Q24,RU,TRUE,S3,B,FALSE,11,18.0,-0.347
Q24,RU,TRUE,S3,C,FALSE,6,9.8,-0.382
Q24,RU,TRUE,S3,D,FALSE,5,8.2,-0.004
Q26,KZ,TRUE,S3,A,TRUE,135,70.3,0.383
Q26,KZ,TRUE,S3,B,FALSE,32,16.7,-0.290
Q26,KZ,TRUE,S3,C,FALSE,16,8.3,-0.129
Q26,KZ,TRUE,S3,D,FALSE,9,4.7,-0.146
Q26,RU,TRUE,S3,A,TRUE,39,63.9,0.267
Q26,RU,TRUE,S3,B,FALSE,12,19.7,-0.065
Q26,RU,TRUE,S3,C,FALSE,8,13.1,-0.274
Q26,RU,TRUE,S3,D,FALSE,2,3.3,-0.056
Q27,KZ,TRUE,S3,A,TRUE,118,61.5,0.588
Q27,KZ,TRUE,S3,B,FALSE,40,20.8,-0.471
Q27,KZ,TRUE,S3,C,FALSE,31,16.1,-0.231
Q27,KZ,TRUE,S3,D,FALSE,3,1.6,-0.078
Q27,RU,TRUE,S3,A,TRUE,38,62.3,0.538
Q27,RU,TRUE,S3,B,FALSE,12,19.7,-0.604
Q27,RU,TRUE,S3,C,FALSE,8,13.1,-0.053
Q27,RU,TRUE,S3,D,FALSE,3,4.9,-0.012
Q28,KZ,TRUE,S3,A,TRUE,89,46.4,0.708
Q28,KZ,TRUE,S3,B,FALSE,62,32.3,-0.467
Q28,KZ,TRUE,S3,C,FALSE,29,15.1,-0.267
Q28,KZ,TRUE,S3,D,FALSE,12,6.2,-0.162
Q28,RU,TRUE,S3,A,TRUE,38,62.3,0.703
Q28,RU,TRUE,S3,B,FALSE,9,14.8,-0.466
Q28,RU,TRUE,S3,C,FALSE,8,13.1,-0.359
Q28,RU,TRUE,S3,D,FALSE,6,9.8,-0.183
Q29,KZ,TRUE,S3,A,TRUE,107,55.7,0.666
Q29,KZ,TRUE,S3,B,FALSE,44,22.9,-0.482
Q29,KZ,TRUE,S3,C,FALSE,28,14.6,-0.272
Q29,KZ,TRUE,S3,D,FALSE,13,6.8,-0.128
Q29,RU,TRUE,S3,A,TRUE,36,59.0,0.625
Q29,RU,TRUE,S3,B,FALSE,12,19.7,-0.358
Q29,RU,TRUE,S3,C,FALSE,8,13.1,-0.262
Q29,RU,TRUE,S3,D,FALSE,5,8.2,-0.278
