Factor,Eigenvalue,PA_line
1,10.3474505,1.6439893
2,1.7474582,1.5475570
3,1.3564434,1.4631397
4,0.9721740,1.3953501
5,0.9034902,1.3493032
6,0.8381556,1.2937667
7,0.8172887,1.2427982
8,0.7179802,1.1971420
9,0.6783392,1.1519373
10,0.6641109,1.1117618
11,0.6433676,1.0572762
12,0.6225184,1.0141255
13,0.6023383,0.9779360
14,0.5612635,0.9468038
15,0.5259170,0.9114723
16,0.4889052,0.8751725
17,0.4514382,0.8431334
18,0.4209846,0.8037095
19,0.4144135,0.7707294
20,0.3906952,0.7403291
21,0.3657611,0.7005943
22,0.3561073,0.6655071
23,0.3167214,0.6309178
24,0.3166154,0.6019202
25,0.2788985,0.5594886
26,0.2011642,0.5041390
