Item,ML2,ML3,ML1
Q01,0.01331767,0.577133438,0.114061540
Q03,0.29314617,0.272084276,0.431088601
Q04,0.37781231,0.345752133,0.148750118
Q05,0.49502360,0.028105548,0.284357865
Q06,-0.07395332,0.743667482,-0.020535597
Q07,0.39628103,0.087455102,0.332765106
Q08,0.44166884,0.147539692,0.148387835
Q09,0.01060116,0.664913596,0.204828889
Q10,0.61236860,-0.015019958,0.124153433
Q11,0.13692720,0.525694444,-0.112963925
Q12,0.57517513,0.140685365,0.127510705
Q13,0.59012692,0.002136347,0.227227968
Q14,0.61999744,0.103125934,0.053468731
Q15,0.60844352,0.024461545,0.183157222
Q16,0.60889112,0.084595655,0.069413910
Q18,0.71412739,0.086103925,-0.002045872
Q19,0.67703724,-0.073064928,0.194487987
Q20,0.23693341,0.538306694,-0.235616749
Q21,0.79407808,-0.016803886,-0.090089892
Q22,0.60249102,0.051971454,-0.112664212
Q23,0.62716953,-0.077118963,-0.127680858
Q24,0.69966195,-0.074103138,-0.134840274
Q26,0.08427844,0.487481983,-0.320202462
Q27,0.66954686,-0.069981287,-0.006938187
Q28,0.71511230,0.088257297,-0.137578515
Q29,0.71111211,0.038089668,-0.156531233
