Item,f1 (~S1),f3 (~S2),f2 (~S3)
Q01,0.73727004,0.00497066,-0.141565090
Q03,0.27743474,0.44803561,-0.442689017
Q04,0.42033248,0.45588986,-0.125792180
Q05,-0.01986345,0.75263203,-0.213430627
Q06,0.94629539,-0.16397103,-0.009954652
Q07,0.03850546,0.60125180,-0.305468936
Q08,0.19290948,0.54839215,-0.142431152
Q09,0.78746985,0.01615114,-0.247512571
Q10,-0.03406581,0.80067311,-0.054217105
Q11,0.70637938,0.10225940,0.140983602
Q12,0.18542366,0.70115755,-0.089748313
Q13,-0.03519481,0.83010398,-0.138126691
Q14,0.14864329,0.73279124,0.006158538
Q15,0.02102347,0.77863288,-0.112825438
Q16,0.12335140,0.72920449,-0.031905227
Q18,0.15688774,0.80915758,0.038568935
Q19,-0.11166405,0.90127150,-0.073639703
Q20,0.73050043,0.18126409,0.287804698
Q21,0.02870720,0.90712392,0.158814955
Q22,0.09387471,0.72305166,0.248804649
Q23,-0.05819521,0.76620352,0.259544804
Q24,-0.04093588,0.82898658,0.263765245
Q26,0.71022719,-0.02126895,0.383341543
Q27,-0.06363416,0.83424748,0.137894006
Q28,0.19906960,0.76772441,0.219938006
Q29,0.10153353,0.80829464,0.282343911
