Item,Subscale,Group,N,Correct,P_correct,CI_low,CI_high,Chi2,df,P_binom,P_holm,Above_guess,Below_guess
Q01,S1,hub,73,33,0.452,0.335,0.573,15.895,1,0.0002,0.0045,TRUE,FALSE
Q03,S1,rest,73,18,0.247,0.153,0.361,0.005,1,1.0000,1.0000,FALSE,FALSE
Q04,S1,rest,73,11,0.151,0.078,0.254,3.840,1,0.0575,1.0000,FALSE,FALSE
Q05,S1,rest,73,22,0.301,0.199,0.420,1.027,1,0.3434,1.0000,FALSE,FALSE
Q06,S1,hub,73,27,0.370,0.260,0.491,5.594,1,0.0215,0.4302,FALSE,FALSE
Q07,S1,rest,73,18,0.247,0.153,0.361,0.005,1,1.0000,1.0000,FALSE,FALSE
Q08,S1,rest,73,12,0.164,0.088,0.270,2.854,1,0.1044,1.0000,FALSE,FALSE
Q09,S1,hub,73,21,0.288,0.188,0.406,0.553,1,0.4988,1.0000,FALSE,FALSE
Q10,S2,rest,73,19,0.260,0.165,0.376,0.041,1,0.8925,1.0000,FALSE,FALSE
Q11,S2,hub,73,36,0.493,0.374,0.613,23.018,1,0.0000,0.0002,TRUE,FALSE
Q12,S2,rest,73,10,0.137,0.068,0.238,4.973,1,0.0295,0.5601,FALSE,FALSE
Q13,S2,rest,73,20,0.274,0.176,0.391,0.224,1,0.6850,1.0000,FALSE,FALSE
Q14,S2,rest,73,13,0.178,0.098,0.285,2.014,1,0.1772,1.0000,FALSE,FALSE
Q15,S2,rest,73,15,0.205,0.120,0.316,0.772,1,0.4202,1.0000,FALSE,FALSE
Q16,S2,rest,73,9,0.123,0.058,0.221,6.251,1,0.0100,0.2108,FALSE,FALSE
Q18,S2,rest,73,5,0.068,0.023,0.153,12.826,1,0.0001,0.0027,FALSE,TRUE
Q19,S2,rest,73,19,0.260,0.165,0.376,0.041,1,0.8925,1.0000,FALSE,FALSE
Q20,S3,hub,73,22,0.301,0.199,0.420,1.027,1,0.3434,1.0000,FALSE,FALSE
Q21,S3,rest,73,12,0.164,0.088,0.270,2.854,1,0.1044,1.0000,FALSE,FALSE
Q22,S3,rest,73,20,0.274,0.176,0.391,0.224,1,0.6850,1.0000,FALSE,FALSE
Q23,S3,rest,73,21,0.288,0.188,0.406,0.553,1,0.4988,1.0000,FALSE,FALSE
Q24,S3,rest,73,20,0.274,0.176,0.391,0.224,1,0.6850,1.0000,FALSE,FALSE
Q26,S3,hub,73,40,0.548,0.427,0.665,34.562,1,0.0000,0.0000,TRUE,FALSE
Q27,S3,rest,73,18,0.247,0.153,0.361,0.005,1,1.0000,1.0000,FALSE,FALSE
Q28,S3,rest,73,8,0.110,0.049,0.205,7.676,1,0.0042,0.0924,FALSE,FALSE
Q29,S3,rest,73,12,0.164,0.088,0.270,2.854,1,0.1044,1.0000,FALSE,FALSE
