Factor,Item,Beta
G,Q01,0.668
G,Q03,0.793
G,Q04,0.804
G,Q05,0.865
G,Q06,0.571
G,Q07,0.737
G,Q08,0.699
G,Q09,0.684
G,Q10,0.824
G,Q11,0.652
G,Q12,0.842
G,Q13,0.907
G,Q14,0.851
G,Q15,0.833
G,Q16,0.808
G,Q18,0.869
G,Q19,0.891
G,Q20,0.688
G,Q21,0.882
G,Q22,0.760
G,Q23,0.670
G,Q24,0.761
G,Q26,0.490
G,Q27,0.786
G,Q28,0.848
G,Q29,0.829
S_hub,Q01,0.478
S_hub,Q03,0.000
S_hub,Q04,0.000
S_hub,Q05,0.000
S_hub,Q06,0.654
S_hub,Q07,0.000
S_hub,Q08,0.000
S_hub,Q09,0.465
S_hub,Q10,0.000
S_hub,Q11,0.469
S_hub,Q12,0.000
S_hub,Q13,0.000
S_hub,Q14,0.000
S_hub,Q15,0.000
S_hub,Q16,0.000
S_hub,Q18,0.000
S_hub,Q19,0.000
S_hub,Q20,0.469
S_hub,Q21,0.000
S_hub,Q22,0.000
S_hub,Q23,0.000
S_hub,Q24,0.000
S_hub,Q26,0.466
S_hub,Q27,0.000
S_hub,Q28,0.000
S_hub,Q29,0.000
