ID,Score,Stratum,P_random
1,25,no-floor,0.0000
2,22,no-floor,0.0000
3,13,no-floor,0.1470
4,21,no-floor,0.0000
5,6,floor,0.9568
6,19,no-floor,0.0000
7,25,no-floor,0.0000
8,18,no-floor,0.0000
9,18,no-floor,0.0000
10,10,no-floor,0.9553
11,24,no-floor,0.0000
12,14,no-floor,0.0399
13,14,no-floor,0.0695
14,15,no-floor,0.0037
15,17,no-floor,0.0003
16,24,no-floor,0.0000
17,8,floor,0.9611
18,26,no-floor,0.0000
19,17,no-floor,0.0009
20,20,no-floor,0.0000
21,18,no-floor,0.0000
22,23,no-floor,0.0000
23,23,no-floor,0.0000
24,4,floor,0.9810
25,16,no-floor,0.0046
26,26,no-floor,0.0000
27,6,floor,0.9983
28,24,no-floor,0.0000
29,26,no-floor,0.0000
30,7,floor,0.9999
31,6,floor,0.9999
32,21,no-floor,0.0000
33,8,floor,0.6307
34,24,no-floor,0.0000
35,11,no-floor,0.1281
36,7,floor,0.9974
37,26,no-floor,0.0000
38,26,no-floor,0.0000
39,7,floor,0.9994
40,22,no-floor,0.0000
41,22,no-floor,0.0000
42,26,no-floor,0.0000
43,16,no-floor,0.0000
44,9,no-floor,0.1192
45,20,no-floor,0.0000
46,22,no-floor,0.0000
47,26,no-floor,0.0000
48,6,floor,0.9994
49,11,no-floor,0.4395
50,25,no-floor,0.0000
51,25,no-floor,0.0000
52,8,floor,0.9565
53,6,floor,0.0291
54,11,no-floor,0.0397
55,24,no-floor,0.0000
56,9,no-floor,0.0468
57,26,no-floor,0.0000
58,15,no-floor,0.0002
59,15,no-floor,0.0000
60,26,no-floor,0.0000
61,25,no-floor,0.0000
62,20,no-floor,0.0000
63,14,no-floor,0.0319
64,7,floor,0.0007
65,26,no-floor,0.0000
66,22,no-floor,0.0000
67,24,no-floor,0.0000
68,7,floor,0.0024
69,14,no-floor,0.0064
70,4,floor,0.9240
71,10,no-floor,0.9845
72,9,no-floor,0.9985
73,7,floor,0.9873
74,12,no-floor,0.2048
75,20,no-floor,0.0000
76,26,no-floor,0.0000
77,6,floor,0.9958
78,26,no-floor,0.0000
79,5,floor,0.9990
80,8,floor,0.9667
81,8,floor,0.6982
82,10,no-floor,0.8318
83,6,floor,0.9833
84,24,no-floor,0.0000
85,26,no-floor,0.0000
86,11,no-floor,0.0383
87,9,no-floor,0.9086
88,14,no-floor,0.0296
89,25,no-floor,0.0000
90,7,floor,0.7445
91,26,no-floor,0.0000
92,15,no-floor,0.0000
93,14,no-floor,0.0061
94,15,no-floor,0.0026
95,6,floor,0.0004
96,26,no-floor,0.0000
97,23,no-floor,0.0000
98,26,no-floor,0.0000
99,8,floor,0.9914
100,8,floor,0.9975
101,11,no-floor,0.0533
102,8,floor,0.9127
103,7,floor,0.0016
104,26,no-floor,0.0000
105,24,no-floor,0.0000
106,26,no-floor,0.0000
107,20,no-floor,0.0000
108,25,no-floor,0.0000
109,15,no-floor,0.0024
110,26,no-floor,0.0000
111,26,no-floor,0.0000
112,24,no-floor,0.0000
113,20,no-floor,0.0000
114,8,floor,0.9886
115,12,no-floor,0.9237
116,11,no-floor,0.2866
117,4,floor,0.8662
118,24,no-floor,0.0000
119,9,no-floor,0.7648
120,18,no-floor,0.0000
121,6,floor,0.9995
122,14,no-floor,0.0570
123,5,floor,0.9985
124,11,no-floor,0.9904
125,15,no-floor,0.0001
126,8,floor,0.9687
127,22,no-floor,0.0000
128,18,no-floor,0.0000
129,24,no-floor,0.0000
130,9,no-floor,0.9069
131,17,no-floor,0.0000
132,11,no-floor,0.8442
133,5,floor,0.0021
134,13,no-floor,0.0028
135,22,no-floor,0.0000
136,7,floor,0.9648
137,26,no-floor,0.0000
138,8,floor,0.9737
139,26,no-floor,0.0000
140,26,no-floor,0.0000
141,21,no-floor,0.0000
142,26,no-floor,0.0000
143,24,no-floor,0.0000
144,23,no-floor,0.0000
145,26,no-floor,0.0000
146,7,floor,0.9804
147,12,no-floor,0.0079
148,20,no-floor,0.0000
149,24,no-floor,0.0000
150,8,floor,0.0040
151,9,no-floor,0.9927
152,5,floor,0.9997
153,25,no-floor,0.0000
154,16,no-floor,0.0000
155,25,no-floor,0.0000
156,26,no-floor,0.0000
157,25,no-floor,0.0000
158,7,floor,0.9992
159,8,floor,0.9998
160,10,no-floor,0.8678
161,5,floor,0.8104
162,5,floor,0.9844
163,6,floor,0.0004
164,26,no-floor,0.0000
165,19,no-floor,0.0000
166,4,floor,0.5588
167,12,no-floor,0.0078
168,8,floor,0.7319
169,23,no-floor,0.0000
170,6,floor,0.0004
171,5,floor,0.9988
172,26,no-floor,0.0000
173,8,floor,0.9998
174,9,no-floor,0.0049
175,26,no-floor,0.0000
176,11,no-floor,0.0998
177,25,no-floor,0.0000
178,25,no-floor,0.0000
179,13,no-floor,0.0002
180,26,no-floor,0.0000
181,20,no-floor,0.0000
182,16,no-floor,0.0000
183,5,floor,0.6490
184,15,no-floor,0.0013
185,15,no-floor,0.0002
186,7,floor,0.0005
187,7,floor,0.0212
188,13,no-floor,0.0219
189,18,no-floor,0.0001
190,26,no-floor,0.0000
191,25,no-floor,0.0000
192,20,no-floor,0.0000
193,8,floor,0.9972
194,9,no-floor,0.0127
195,14,no-floor,0.0044
196,26,no-floor,0.0000
197,26,no-floor,0.0000
198,26,no-floor,0.0000
199,10,no-floor,0.5538
200,8,floor,0.9884
201,10,no-floor,0.9993
202,8,floor,0.9986
203,25,no-floor,0.0000
204,10,no-floor,0.8842
205,5,floor,0.9946
206,7,floor,0.2177
207,26,no-floor,0.0000
208,25,no-floor,0.0000
209,3,floor,0.8481
210,7,floor,0.9985
211,7,floor,0.9992
212,23,no-floor,0.0000
213,25,no-floor,0.0000
214,25,no-floor,0.0000
215,26,no-floor,0.0000
216,11,no-floor,0.9089
217,23,no-floor,0.0000
218,6,floor,0.0004
219,8,floor,0.9881
220,19,no-floor,0.0000
221,26,no-floor,0.0000
222,9,no-floor,0.8264
223,26,no-floor,0.0000
224,26,no-floor,0.0000
225,6,floor,0.9987
226,6,floor,0.0004
227,26,no-floor,0.0000
228,6,floor,0.0004
229,15,no-floor,0.0210
230,20,no-floor,0.0000
231,17,no-floor,0.0013
232,6,floor,0.0004
233,6,floor,0.9965
234,7,floor,0.5359
235,8,floor,0.0229
236,19,no-floor,0.0000
237,12,no-floor,0.0064
238,7,floor,0.9220
239,7,floor,0.9992
240,10,no-floor,0.7045
241,26,no-floor,0.0000
242,9,no-floor,0.9945
243,26,no-floor,0.0000
244,8,floor,0.9999
245,10,no-floor,0.4984
246,15,no-floor,0.0162
247,24,no-floor,0.0000
248,7,floor,0.2167
249,25,no-floor,0.0000
250,26,no-floor,0.0000
251,26,no-floor,0.0000
252,26,no-floor,0.0000
253,7,floor,0.9921
