Item,Subscale,Group,a,b,p_value,High_disc,Extreme_disc
Q01,S1,hub,1.838,-1.428,0.850,TRUE,FALSE
Q03,S1,rest,1.496,-1.514,0.839,TRUE,FALSE
Q04,S1,rest,1.734,-1.044,0.761,TRUE,FALSE
Q05,S1,rest,1.224,-2.510,0.928,FALSE,FALSE
Q06,S1,hub,1.480,-0.991,0.733,TRUE,FALSE
Q07,S1,rest,1.006,-1.854,0.828,FALSE,FALSE
Q08,S1,rest,1.200,-0.830,0.678,FALSE,FALSE
Q09,S1,hub,1.402,-1.346,0.800,TRUE,FALSE
Q10,S2,rest,2.177,-1.097,0.794,TRUE,FALSE
Q11,S2,hub,3.039,-0.961,0.778,TRUE,TRUE
Q12,S2,rest,2.375,-0.667,0.678,TRUE,FALSE
Q13,S2,rest,2.996,-1.402,0.894,TRUE,FALSE
Q14,S2,rest,2.922,-0.791,0.722,TRUE,FALSE
Q15,S2,rest,2.241,-0.902,0.744,TRUE,FALSE
Q16,S2,rest,1.841,-0.763,0.694,TRUE,FALSE
Q18,S2,rest,2.397,-0.575,0.650,TRUE,FALSE
Q19,S2,rest,2.664,-1.228,0.844,TRUE,FALSE
Q20,S3,hub,2.272,-0.919,0.750,TRUE,FALSE
Q21,S3,rest,3.823,-0.730,0.706,TRUE,TRUE
Q22,S3,rest,2.240,-0.786,0.711,TRUE,FALSE
Q23,S3,rest,1.744,-0.505,0.622,TRUE,FALSE
Q24,S3,rest,1.853,-0.974,0.750,TRUE,FALSE
Q26,S3,hub,1.664,-0.990,0.744,TRUE,FALSE
Q27,S3,rest,1.831,-1.046,0.767,TRUE,FALSE
Q28,S3,rest,2.731,-0.605,0.661,TRUE,FALSE
Q29,S3,rest,2.344,-0.836,0.728,TRUE,FALSE
