ID,Score,Stratum,Zh,Guttman_G,Guttman_Gstar
1,25,no-floor,0.103,12,0.480
2,22,no-floor,0.035,27,0.307
3,13,no-floor,-0.638,67,0.396
4,21,no-floor,-0.735,69,0.657
5,6,floor,0.314,31,0.258
6,19,no-floor,-0.087,48,0.361
7,25,no-floor,0.106,10,0.400
8,18,no-floor,-0.583,65,0.451
9,18,no-floor,0.760,25,0.174
10,10,no-floor,0.138,56,0.350
11,24,no-floor,0.012,19,0.396
12,14,no-floor,-0.808,70,0.417
13,14,no-floor,-1.146,80,0.476
14,15,no-floor,-0.448,66,0.400
15,17,no-floor,-0.138,53,0.346
16,24,no-floor,0.067,16,0.333
17,8,floor,0.283,47,0.326
18,26,no-floor,0.720,0,
19,17,no-floor,-0.854,81,0.529
20,20,no-floor,-0.578,55,0.458
21,18,no-floor,0.197,45,0.312
22,23,no-floor,-0.582,50,0.725
23,23,no-floor,0.358,6,0.087
24,4,floor,-0.211,44,0.500
25,16,no-floor,-0.786,72,0.450
26,26,no-floor,0.720,0,
27,6,floor,-0.048,54,0.450
28,24,no-floor,-0.358,28,0.583
29,26,no-floor,0.720,0,
30,7,floor,-2.257,108,0.812
31,6,floor,-0.354,55,0.458
32,21,no-floor,-0.847,75,0.714
33,8,floor,0.343,45,0.312
34,24,no-floor,0.075,14,0.292
35,11,no-floor,0.459,48,0.291
36,7,floor,-0.238,61,0.459
37,26,no-floor,0.720,0,
38,26,no-floor,0.720,0,
39,7,floor,-0.450,63,0.474
40,22,no-floor,-0.746,64,0.727
41,22,no-floor,-0.164,39,0.443
42,26,no-floor,0.720,0,
43,16,no-floor,0.464,42,0.262
44,9,no-floor,0.389,44,0.288
45,20,no-floor,0.110,38,0.317
46,22,no-floor,-0.002,30,0.341
47,26,no-floor,0.720,0,
48,6,floor,-1.129,76,0.633
49,11,no-floor,0.675,48,0.291
50,25,no-floor,0.117,21,0.840
51,25,no-floor,0.319,5,0.200
52,8,floor,0.021,53,0.368
53,6,floor,0.582,19,0.158
54,11,no-floor,0.545,45,0.273
55,24,no-floor,0.147,9,0.188
56,9,no-floor,0.453,43,0.281
57,26,no-floor,0.720,0,
58,15,no-floor,1.053,35,0.212
59,15,no-floor,2.273,8,0.048
60,26,no-floor,0.720,0,
61,25,no-floor,0.345,0,0.000
62,20,no-floor,0.398,26,0.217
63,14,no-floor,-0.315,67,0.399
64,7,floor,0.419,31,0.233
65,26,no-floor,0.720,0,
66,22,no-floor,0.261,23,0.261
67,24,no-floor,0.084,14,0.292
68,7,floor,0.439,32,0.241
69,14,no-floor,0.186,58,0.345
70,4,floor,0.091,29,0.330
71,10,no-floor,-0.445,68,0.425
72,9,no-floor,-1.100,85,0.556
73,7,floor,0.155,50,0.376
74,12,no-floor,0.336,57,0.339
75,20,no-floor,-0.033,44,0.367
76,26,no-floor,0.720,0,
77,6,floor,-0.180,48,0.400
78,26,no-floor,0.720,0,
79,5,floor,-0.487,61,0.581
80,8,floor,-0.025,54,0.375
81,8,floor,0.636,31,0.215
82,10,no-floor,-0.182,59,0.369
83,6,floor,-0.230,54,0.450
84,24,no-floor,-0.620,42,0.875
85,26,no-floor,0.720,0,
86,11,no-floor,1.415,32,0.194
87,9,no-floor,0.436,43,0.281
88,14,no-floor,0.370,58,0.345
89,25,no-floor,0.252,4,0.160
90,7,floor,0.117,45,0.338
91,26,no-floor,0.720,0,
92,15,no-floor,1.619,26,0.158
93,14,no-floor,0.403,52,0.310
94,15,no-floor,-0.206,64,0.388
95,6,floor,0.555,22,0.183
96,26,no-floor,0.720,0,
97,23,no-floor,0.318,8,0.116
98,26,no-floor,0.720,0,
99,8,floor,-0.385,60,0.417
100,8,floor,-0.851,72,0.500
101,11,no-floor,0.156,54,0.327
102,8,floor,0.324,42,0.292
103,7,floor,0.508,29,0.218
104,26,no-floor,0.720,0,
105,24,no-floor,0.077,19,0.396
106,26,no-floor,0.720,0,
107,20,no-floor,-0.195,51,0.425
108,25,no-floor,0.345,0,0.000
109,15,no-floor,-0.078,59,0.358
110,26,no-floor,0.720,0,
111,26,no-floor,0.720,0,
112,24,no-floor,0.077,19,0.396
113,20,no-floor,0.058,40,0.333
114,8,floor,-0.752,75,0.521
115,12,no-floor,-0.618,78,0.464
116,11,no-floor,0.752,45,0.273
117,4,floor,0.511,16,0.182
118,24,no-floor,0.256,7,0.146
119,9,no-floor,0.767,43,0.281
120,18,no-floor,0.160,44,0.306
121,6,floor,-0.154,56,0.467
122,14,no-floor,-0.627,73,0.435
123,5,floor,-0.290,48,0.457
124,11,no-floor,-2.003,94,0.570
125,15,no-floor,1.456,29,0.176
126,8,floor,-0.702,79,0.549
127,22,no-floor,-0.356,50,0.568
128,18,no-floor,0.977,21,0.146
129,24,no-floor,0.430,0,0.000
130,9,no-floor,0.582,42,0.275
131,17,no-floor,0.247,45,0.294
132,11,no-floor,-0.889,81,0.491
133,5,floor,0.527,19,0.181
134,13,no-floor,1.314,36,0.213
135,22,no-floor,-0.375,45,0.511
136,7,floor,0.093,41,0.308
137,26,no-floor,0.720,0,
138,8,floor,-0.651,70,0.486
139,26,no-floor,0.720,0,
140,26,no-floor,0.720,0,
141,21,no-floor,0.104,36,0.343
142,26,no-floor,0.720,0,
143,24,no-floor,-0.084,22,0.458
144,23,no-floor,-0.260,37,0.536
145,26,no-floor,0.720,0,
146,7,floor,-0.253,60,0.451
147,12,no-floor,1.177,38,0.226
148,20,no-floor,-0.310,54,0.450
149,24,no-floor,0.098,14,0.292
150,8,floor,0.332,36,0.250
151,9,no-floor,-0.035,58,0.379
152,5,floor,-0.426,60,0.571
153,25,no-floor,0.319,5,0.200
154,16,no-floor,1.614,21,0.131
155,25,no-floor,0.071,13,0.520
156,26,no-floor,0.720,0,
157,25,no-floor,0.346,3,0.120
158,7,floor,-0.623,72,0.541
159,8,floor,-1.125,80,0.556
160,10,no-floor,-0.404,67,0.419
161,5,floor,1.080,5,0.048
162,5,floor,0.272,26,0.248
163,6,floor,0.555,22,0.183
164,26,no-floor,0.720,0,
165,19,no-floor,0.036,49,0.368
166,4,floor,0.186,26,0.295
167,12,no-floor,1.012,43,0.256
168,8,floor,0.817,35,0.243
169,23,no-floor,-0.193,33,0.478
170,6,floor,0.555,22,0.183
171,5,floor,-0.013,41,0.390
172,26,no-floor,0.720,0,
173,8,floor,-0.794,71,0.493
174,9,no-floor,0.687,35,0.229
175,26,no-floor,0.720,0,
176,11,no-floor,-0.004,56,0.339
177,25,no-floor,0.345,0,0.000
178,25,no-floor,0.345,0,0.000
179,13,no-floor,0.526,41,0.243
180,26,no-floor,0.720,0,
181,20,no-floor,0.081,40,0.333
182,16,no-floor,1.216,33,0.206
183,5,floor,0.166,32,0.305
184,15,no-floor,0.402,48,0.291
185,15,no-floor,1.300,32,0.194
186,7,floor,0.923,16,0.120
187,7,floor,0.050,44,0.331
188,13,no-floor,-0.188,62,0.367
189,18,no-floor,-0.593,73,0.507
190,26,no-floor,0.720,0,
191,25,no-floor,0.319,5,0.200
192,20,no-floor,0.754,15,0.125
193,8,floor,-0.825,81,0.562
194,9,no-floor,0.469,40,0.261
195,14,no-floor,-0.087,57,0.339
196,26,no-floor,0.720,0,
197,26,no-floor,0.720,0,
198,26,no-floor,0.720,0,
199,10,no-floor,0.992,44,0.275
200,8,floor,-0.179,54,0.375
201,10,no-floor,-2.002,106,0.662
202,8,floor,-0.579,63,0.438
203,25,no-floor,0.052,17,0.680
204,10,no-floor,-0.347,63,0.394
205,5,floor,-0.081,46,0.438
206,7,floor,0.631,31,0.233
207,26,no-floor,0.720,0,
208,25,no-floor,0.018,18,0.720
209,3,floor,0.485,9,0.130
210,7,floor,-0.437,70,0.526
211,7,floor,-1.083,87,0.654
212,23,no-floor,0.134,18,0.261
213,25,no-floor,0.346,3,0.120
214,25,no-floor,0.052,17,0.680
215,26,no-floor,0.720,0,
216,11,no-floor,-0.605,70,0.424
217,23,no-floor,0.194,13,0.188
218,6,floor,0.555,22,0.183
219,8,floor,-0.420,67,0.465
220,19,no-floor,-1.026,88,0.662
221,26,no-floor,0.720,0,
222,9,no-floor,0.021,59,0.386
223,26,no-floor,0.720,0,
224,26,no-floor,0.720,0,
225,6,floor,-0.553,61,0.508
226,6,floor,0.555,22,0.183
227,26,no-floor,0.720,0,
228,6,floor,0.555,22,0.183
229,15,no-floor,-0.664,68,0.412
230,20,no-floor,-0.091,42,0.350
231,17,no-floor,-1.072,90,0.588
232,6,floor,0.555,22,0.183
233,6,floor,-0.158,55,0.458
234,7,floor,0.369,41,0.308
235,8,floor,0.758,27,0.188
236,19,no-floor,-0.706,74,0.556
237,12,no-floor,1.235,32,0.190
238,7,floor,0.760,27,0.203
239,7,floor,-0.914,81,0.609
240,10,no-floor,0.239,54,0.338
241,26,no-floor,0.720,0,
242,9,no-floor,-0.926,77,0.503
243,26,no-floor,0.720,0,
244,8,floor,-1.223,81,0.562
245,10,no-floor,0.268,52,0.325
246,15,no-floor,-0.705,70,0.424
247,24,no-floor,-0.030,19,0.396
248,7,floor,1.349,11,0.083
249,25,no-floor,0.319,5,0.200
250,26,no-floor,0.720,0,
251,26,no-floor,0.720,0,
252,26,no-floor,0.720,0,
253,7,floor,0.102,46,0.346
