ID,Theta,Error
1,1.94810049,0.8643358
2,0.69611701,0.5358294
3,-0.99945004,0.4040503
4,0.44053050,0.4969820
5,-2.21704949,0.4696444
6,0.01374875,0.4486291
7,1.94810049,0.8643358
8,-0.17359487,0.4333276
9,-0.17359487,0.4333276
10,-1.48074544,0.4140206
11,1.38789142,0.6851701
12,-0.84133375,0.4050704
13,-0.84133375,0.4050704
14,-0.68159885,0.4082615
15,-0.34995676,0.4219810
16,1.38789142,0.6851701
17,-1.82620748,0.4336956
18,3.09453393,1.4636156
19,-0.34995676,0.4219810
20,0.21636807,0.4691497
21,-0.17359487,0.4333276
22,1.00034405,0.5929608
23,1.00034405,0.5929608
24,-2.69798863,0.5364266
25,-0.51847781,0.4137943
26,3.09453393,1.4636156
27,-2.21704949,0.4696444
28,1.38789142,0.6851701
29,3.09453393,1.4636156
30,-2.01395249,0.4490628
31,-2.21704949,0.4696444
32,0.44053050,0.4969820
33,-1.82620748,0.4336956
34,1.38789142,0.6851701
35,-1.31744463,0.4084135
36,-2.01395249,0.4490628
37,3.09453393,1.4636156
38,3.09453393,1.4636156
39,-2.01395249,0.4490628
40,0.69611701,0.5358294
41,0.69611701,0.5358294
42,3.09453393,1.4636156
43,-0.51847781,0.4137943
44,-1.64951914,0.4222796
45,0.21636807,0.4691497
46,0.69611701,0.5358294
47,3.09453393,1.4636156
48,-2.21704949,0.4696444
49,-1.31744463,0.4084135
50,1.94810049,0.8643358
51,1.94810049,0.8643358
52,-1.82620748,0.4336956
53,-2.21704949,0.4696444
54,-1.31744463,0.4084135
55,1.38789142,0.6851701
56,-1.64951914,0.4222796
57,3.09453393,1.4636156
58,-0.68159885,0.4082615
59,-0.68159885,0.4082615
60,3.09453393,1.4636156
61,1.94810049,0.8643358
62,0.21636807,0.4691497
63,-0.84133375,0.4050704
64,-2.01395249,0.4490628
65,3.09453393,1.4636156
66,0.69611701,0.5358294
67,1.38789142,0.6851701
68,-2.01395249,0.4490628
69,-0.84133375,0.4050704
70,-2.69798863,0.5364266
71,-1.48074544,0.4140206
72,-1.64951914,0.4222796
73,-2.01395249,0.4490628
74,-1.15760213,0.4051467
75,0.21636807,0.4691497
76,3.09453393,1.4636156
77,-2.21704949,0.4696444
78,3.09453393,1.4636156
79,-2.44176736,0.4975316
80,-1.82620748,0.4336956
81,-1.82620748,0.4336956
82,-1.48074544,0.4140206
83,-2.21704949,0.4696444
84,1.38789142,0.6851701
85,3.09453393,1.4636156
86,-1.31744463,0.4084135
87,-1.64951914,0.4222796
88,-0.84133375,0.4050704
89,1.94810049,0.8643358
90,-2.01395249,0.4490628
91,3.09453393,1.4636156
92,-0.68159885,0.4082615
93,-0.84133375,0.4050704
94,-0.68159885,0.4082615
95,-2.21704949,0.4696444
96,3.09453393,1.4636156
97,1.00034405,0.5929608
98,3.09453393,1.4636156
99,-1.82620748,0.4336956
100,-1.82620748,0.4336956
101,-1.31744463,0.4084135
102,-1.82620748,0.4336956
103,-2.01395249,0.4490628
104,3.09453393,1.4636156
105,1.38789142,0.6851701
106,3.09453393,1.4636156
107,0.21636807,0.4691497
108,1.94810049,0.8643358
109,-0.68159885,0.4082615
110,3.09453393,1.4636156
111,3.09453393,1.4636156
112,1.38789142,0.6851701
113,0.21636807,0.4691497
114,-1.82620748,0.4336956
115,-1.15760213,0.4051467
116,-1.31744463,0.4084135
117,-2.69798863,0.5364266
118,1.38789142,0.6851701
119,-1.64951914,0.4222796
120,-0.17359487,0.4333276
121,-2.21704949,0.4696444
122,-0.84133375,0.4050704
123,-2.44176736,0.4975316
124,-1.31744463,0.4084135
125,-0.68159885,0.4082615
126,-1.82620748,0.4336956
127,0.69611701,0.5358294
128,-0.17359487,0.4333276
129,1.38789142,0.6851701
130,-1.64951914,0.4222796
131,-0.34995676,0.4219810
132,-1.31744463,0.4084135
133,-2.44176736,0.4975316
134,-0.99945004,0.4040503
135,0.69611701,0.5358294
