Item,Outfit_MSQ,Infit_MSQ,Difficulty
Q01,0.879,1.092,-1.858
Q03,0.834,0.974,-1.388
Q04,0.841,0.918,-0.825
Q05,0.901,0.882,-1.944
Q06,1.157,1.210,-1.120
Q07,1.141,1.080,-1.334
Q08,1.357,1.163,-0.443
Q09,1.204,1.038,-1.281
Q10,0.780,0.973,-1.200
Q11,0.910,1.112,-1.579
Q12,0.759,0.898,-0.388
Q13,0.606,0.868,-1.717
Q14,0.724,0.889,-0.690
Q15,0.813,0.942,-0.852
Q16,0.979,0.967,-0.443
Q18,0.834,0.832,-0.105
Q19,0.678,0.870,-1.442
Q20,0.895,1.071,-1.067
Q21,0.693,0.835,-0.581
Q22,0.904,1.060,-0.825
Q23,1.344,1.250,-0.416
Q24,1.092,1.062,-1.013
Q26,1.345,1.355,-1.524
Q27,0.962,1.034,-1.040
Q28,0.779,0.861,-0.247
Q29,0.761,0.924,-0.690
