ID,Language,GPA_numeric,GPA_ordinal,GPA_text_raw,Course,Conference,Region,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29,Score_Total,Score_S1,Score_S2,Score_S3
1,ru,3.835,5,Значительно выше среднего (вхожу в 10% лучших),3,1,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,25,8,9,8
2,ru,2.995,3,На уровне среднего,2,0,Алматы,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,22,8,8,6
3,ru,2.995,3,На уровне среднего,2,0,Алматинская область,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,13,4,4,5
4,ru,2.995,3,На уровне среднего,1,1,Алматы,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,21,4,9,8
5,ru,3.835,4,Выше среднего,3,0,Алматы,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,1,3,2
6,ru,3.495,3,На уровне среднего,2,1,Алматы,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,19,7,6,6
7,ru,3.495,3,На уровне среднего,1,0,Алматинская область,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,7,9,9
8,ru,3.835,4,Выше среднего,2,0,Алматы,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,18,5,6,7
9,ru,3.835,3,На уровне среднего,2,1,Алматы,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,18,7,6,5
10,ru,3.495,4,Выше среднего,3,0,Алматинская область,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,10,3,3,4
11,ru,3.495,3,На уровне среднего,1,0,Алматы,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,24,7,9,8
